variable,n_missing,pct_missing
study_key,0,0.0
study_id_column,0,0.0
source_file_column,0,0.0
n_rows,0,0.0
n_columns,0,0.0
study_id,0,0.0
source_file,0,0.0
title,0,0.0
citation_or_author,0,0.0
year_min,17,29.82456140350877
year_max,17,29.82456140350877
years,0,0.0
season_column,0,0.0
n_non_missing_season,0,0.0
n_unique_season,0,0.0
season_values,0,0.0
district_column,0,0.0
n_non_missing_district,0,0.0
n_unique_district,0,0.0
district_values,0,0.0
site_column,0,0.0
n_non_missing_site,0,0.0
n_unique_site,0,0.0
site_values,0,0.0
province_column,0,0.0
n_non_missing_province,0,0.0
n_unique_province,0,0.0
province_values,0,0.0
municipality_column,0,0.0
n_non_missing_municipality,0,0.0
n_unique_municipality,0,0.0
municipality_values,0,0.0
agroecology_column,0,0.0
n_non_missing_agroecology,0,0.0
n_unique_agroecology,0,0.0
agroecology_values,0,0.0
treatment_group_column,0,0.0
n_non_missing_treatment_group,0,0.0
n_unique_treatment_group,0,0.0
treatment_group_values,0,0.0
variety_column,0,0.0
n_non_missing_variety,0,0.0
n_unique_variety,0,0.0
variety_values,0,0.0
grain_yield_column,0,0.0
n_non_missing_grain_yield,0,0.0
n_unique_grain_yield,0,0.0
grain_yield_median,35,61.40350877192982
grain_yield_min,35,61.40350877192982
grain_yield_max,35,61.40350877192982
grain_yield_values,0,0.0
n_rate_column,0,0.0
n_non_missing_n_rate,0,0.0
n_unique_n_rate,0,0.0
n_rate_median,40,70.17543859649123
n_rate_min,40,70.17543859649123
n_rate_max,40,70.17543859649123
n_rate_values,0,0.0
p_rate_column,0,0.0
n_non_missing_p_rate,0,0.0
n_unique_p_rate,0,0.0
p_rate_median,45,78.94736842105263
p_rate_min,45,78.94736842105263
p_rate_max,45,78.94736842105263
p_rate_values,0,0.0
k_rate_column,0,0.0
n_non_missing_k_rate,0,0.0
n_unique_k_rate,0,0.0
k_rate_median,45,78.94736842105263
k_rate_min,45,78.94736842105263
k_rate_max,45,78.94736842105263
k_rate_values,0,0.0
latitude_column,0,0.0
n_non_missing_latitude,0,0.0
n_unique_latitude,0,0.0
latitude_median,6,10.526315789473685
latitude_min,6,10.526315789473685
latitude_max,6,10.526315789473685
latitude_values,0,0.0
longitude_column,0,0.0
n_non_missing_longitude,0,0.0
n_unique_longitude,0,0.0
longitude_median,6,10.526315789473685
longitude_min,6,10.526315789473685
longitude_max,6,10.526315789473685
longitude_values,0,0.0
soil_ph_column,0,0.0
n_non_missing_soil_ph,0,0.0
n_unique_soil_ph,0,0.0
soil_ph_values,0,0.0
soil_organic_column,0,0.0
n_non_missing_soil_organic,0,0.0
n_unique_soil_organic,0,0.0
soil_organic_values,0,0.0
soil_n_column,0,0.0
n_non_missing_soil_n,0,0.0
n_unique_soil_n,0,0.0
soil_n_values,0,0.0
soil_p_column,0,0.0
n_non_missing_soil_p,0,0.0
n_unique_soil_p,0,0.0
soil_p_values,0,0.0
soil_k_column,0,0.0
n_non_missing_soil_k,0,0.0
n_unique_soil_k,0,0.0
soil_k_values,0,0.0
has_yield,0,0.0
has_coordinates,0,0.0
has_n_rate,0,0.0
has_treatment_group,0,0.0
has_season,0,0.0
has_district,0,0.0
missing_core_fields,0,0.0
check_status,0,0.0
